Category,Count,Percentage(%)
Digital Tech,65,5.18
Cosplay,52,4.15
Comedy,49,3.91
Film Talk,46,3.67
Mobile Games,45,3.59
Cats,42,3.35
Doujin/Sketch,42,3.35
Parody,41,3.27
History,38,3.03
Entertainment Talk,35,2.79
Daily Life,35,2.79
PC Games,35,2.79
Food Vlog,34,2.71
Cooking,32,2.55
General,31,2.47
美食侦探,31,2.47
Celebrity,30,2.39
小剧场,30,2.39
Dogs,29,2.31
Human VOCALOID,26,2.07
Remix,26,2.07
Music,25,1.99
Science,24,1.91
娱乐粉丝创作,20,1.59
Beauty,19,1.52
Cover Songs,19,1.52
Fashion,18,1.44
Social Science,18,1.44
Esports,17,1.36
Performance,16,1.28
Online Games,15,1.2
Music Review,15,1.2
Anime Talk,14,1.12
MAD/AMV,13,1.04
Film Editing,13,1.04
计算机技术,12,0.96
科工机械,11,0.88
Food Review,11,0.88
Short Films,10,0.8
Live Music,9,0.72
Travel,9,0.72
Tokusatsu,9,0.72
Animal Remix,8,0.64
时尚潮流,8,0.64
Finance,8,0.64
Drawing,8,0.64
Exotic Pets,8,0.64
Variety Show,7,0.56
软件应用,7,0.56
Education,7,0.56
动物综合,6,0.48
Original Music,6,0.48
Wildlife,6,0.48
OTOMAD,5,0.4
Skills,5,0.4
MV,5,0.4
GMV,4,0.32
VOCALOID/UTAU,4,0.32
极客DIY,4,0.32
MMD/3D,3,0.24
Handcraft,3,0.24
Agriculture,3,0.24
Parenting,3,0.24
Toys/Merch,3,0.24
Radio,3,0.24
Trailers/News,2,0.16
Board Games,2,0.16
Design,2,0.16
AI Music,2,0.16
动态漫·广播剧,2,0.16
赛车,1,0.08
EV,1,0.08
国产原创相关,1,0.08
Film General,1,0.08
Looks,1,0.08
Rhythm Games,1,0.08
Music Tutorial,1,0.08
Rural Food,1,0.08
Basketball,1,0.08
